vec,word
"""[-0.0629777, 0.0383322, 0.370846, 0.476285, -0.17593, 0.0724666, 0.238135, -0.0813034, -0.0318423, -0.381954, 0.320757, -0.0728525, -0.437611, 0.281496, 0.300433, 0.659703, 0.399671, -0.216483, -0.212043, -0.187066, 0.704055, 0.0455534, 0.697793, -0.0557207, 0.315116, -0.17863, -0.123364, 0.0539399, -0.000699574, 0.53722, 0.00840145, 0.227786, 0.185981, -0.169891, -0.0689649, 0.115582, 0.313189, 0.252073, -0.0912213, -0.163657, 0.430626, 0.0502052, 0.600421, 0.17128, -0.267135, 0.239623, 0.222315, 0.725035, -0.595738, 0.13108, -0.618747, 0.372981, -0.160449, -0.494344, 0.226636, -0.590579, -0.0211341, -0.0477021, -0.266821, 0.197454, -0.149876, 0.390607, -0.010021, 0.300524, -0.195263, 0.311031, -0.0892912, 0.0862761, -0.139116, 0.109444, 0.0136829, 0.621004, -0.166179, -0.379712, 0.410266, 0.110105, 0.259803, 0.0176114, 0.223829, -0.152017, 0.10596, 0.268082, 0.0173833, -0.0378148, -0.189948, -0.13804, -0.157154, -0.354159, -0.145519, -0.174248, -0.0524009, 0.543667, 0.0977545, 0.00644667, 0.180387, 0.239785, 0.147267, -0.0753145, -0.0328155, 0.537088, 0.239345, 0.0148111, -0.0143568, 0.241688, 0.0806591, -0.228756, -0.113525, -0.262374, -0.579395, 0.161466, -0.619546, 0.708037, 0.0176004, -0.317608, 0.173107, -0.203564, -0.954524, -0.429061, -0.0183422, 0.00968595, -0.0991427, 0.192137, -0.282961, 0.394403, -0.315737, -0.526397, 0.0156083, 0.191776]""",你好
"""[-0.409573, 0.119184, -0.114352, 0.162353, -0.352548, 0.395676, 0.571206, -0.117691, 0.0971075, -0.122801, -0.161633, 0.259611, 0.178792, -0.00101475, 0.071975, 0.135292, -0.252499, -0.203812, 0.185874, 0.561505, 0.0918928, 0.1414, 0.0240134, 0.0309027, -0.357937, 0.0993615, 0.484627, 0.00255487, -0.00689221, -0.265168, 0.393561, -0.270539, 0.132716, -0.476319, -0.0715234, -0.0120839, -0.0550757, -0.0422772, -0.105786, -0.19631, -0.334201, -0.110025, 0.222254, 0.285952, 0.029154, 0.310952, -0.0947015, 0.504197, -0.163561, 0.311512, -0.0797196, -0.108715, -0.474673, 0.254024, 0.144254, -0.0384271, 0.209054, -0.644332, -0.0806203, 0.135707, -0.166502, -0.0899535, -0.189998, 0.235168, -0.0656056, 0.0198532, 0.0272193, -0.0379552, 0.0606164, 0.191697, -0.477235, -0.120109, -0.0900938, 0.098925, 0.0025234, 0.21311, 0.281538, -0.309727, 0.272191, -0.123962, 0.0135556, 0.0262931, 0.0558218, 0.455766, 0.596942, 0.527285, 0.258939, 0.160715, 0.0219153, 0.258387, -0.0338363, -0.405132, -0.0292004, 0.0835121, -0.123218, 0.0406865, 0.145224, 0.149599, 0.148682, -0.0342545, 0.178666, 0.32705, -0.293252, -0.0724604, 0.0801919, -0.180356, 0.125449, -0.324094, -0.334256, -0.323173, -0.461428, 0.151134, -0.0631343, 0.0289805, -0.185512, -0.286945, -0.257756, -0.212681, -0.329478, 0.215993, -0.0335143, 0.116594, -0.559034, -0.0671758, -0.00101407, -0.0844777, -0.273246, 0.167444]""",我
"""[-0.182986, 0.22312, 0.231692, 0.17644, -0.0673813, 0.364419, 0.265641, 0.283231, -0.0242277, 0.0504525, 0.143072, 0.224725, -0.0288955, -0.0791497, 0.173053, 0.571377, 0.303107, 0.00438709, 0.384348, 0.573708, -0.0828938, 0.276934, -0.0764577, -0.336252, -0.207872, -0.104913, 0.129716, 0.227498, 0.286728, -0.0395706, 0.435129, -0.353602, 0.289108, -0.2617, 0.00693606, -0.0349207, 0.405243, -0.341947, 0.0820006, -0.373732, -0.142606, -0.0205776, -0.0460041, 0.458324, -0.400143, 0.00954422, -0.0677766, 0.483275, -0.276273, 0.0174417, 0.109311, -0.286745, -0.128717, 0.168074, 0.116524, -0.18325, 0.0922927, -0.38992, -0.134351, 0.115967, -0.286384, 0.249537, 0.284614, 0.143457, 0.665145, -0.130251, 0.0511603, 0.121538, 0.244583, -0.537428, -0.31206, 0.253357, -0.189567, -0.199612, 0.33327, 0.204601, 0.557825, -0.0686301, 0.0792653, -0.326432, -0.353378, -0.10164, -0.202788, 0.51663, -0.351017, 0.675975, -0.0121455, -0.375744, 0.243068, 0.181224, 0.0905047, -0.30406, 0.0619595, 0.327591, 0.104011, 0.416845, 0.0894057, -0.250439, -0.0851036, 0.0707168, -0.0321329, 0.130198, -0.305792, -0.0664064, 0.628666, 0.118079, 0.0467599, -0.1765, -0.238453, -0.124069, -0.465367, -0.108589, 0.211821, -0.281615, -0.188209, -0.296411, -0.459903, -0.0495607, -0.150572, 0.216531, -0.240201, -0.0881794, -0.160494, -0.459362, 0.217447, -0.0378677, -0.12582, -0.0976804]""",想
"""[-0.299181, -0.135689, -0.266279, -0.39214, -0.190639, 0.37371, 0.559648, 0.0615344, 0.203496, 0.109845, 0.332264, -0.177158, 0.328012, 0.287357, 0.3754, -0.269207, 0.410083, 0.274454, 0.205687, 0.292827, -0.404539, 0.28086, -0.0967541, -0.128014, -0.0522418, -0.286012, 0.422389, 0.190877, 0.0902586, 0.158939, 0.21797, 0.618939, -0.0568368, 0.221144, -0.256488, -0.243383, 0.297071, 0.183829, 0.409794, 0.0182406, 0.0712833, -0.0762207, 0.447433, 0.313302, 0.367719, 0.3473, -0.398661, 0.286756, -0.250571, 0.159429, -0.243866, -0.557751, 0.0519647, 0.43236, 0.297811, 0.0403342, -0.123016, -0.593359, -0.176779, 0.0221555, 0.254825, 0.608057, -0.225828, 0.304673, 0.0304861, -0.00826717, -0.0625479, -0.060108, -0.231962, -0.646683, -0.237493, -0.375333, 0.399229, -0.0762689, 0.114547, 0.121956, 0.509456, 0.0610909, 0.0504517, 0.390933, -0.115988, 0.173797, 0.0716029, -0.224678, -0.160545, -0.211533, -0.0279142, -0.155707, 0.269159, 0.387532, 0.0568429, 0.0705925, -0.119237, 0.180974, -0.180963, 0.103111, 0.434919, -0.2555, -0.298112, -0.142207, -0.105842, 0.258651, 0.506978, -0.195925, 0.0242083, -0.037244, 0.174854, -0.269833, 0.320788, 0.536899, 0.194468, 0.23751, 0.0893615, -0.343281, -0.238823, 0.0225371, 0.0652326, -0.00414005, -0.233584, 0.59391, -0.311984, -0.181976, 0.0446116, 0.160431, 0.0657474, 0.374201, -0.401838, 0.179547]""",看
"""[0.0493141, 0.613883, -0.323205, -0.606944, 0.47129, -0.884951, -0.254885, 0.323351, -0.2725, -0.249918, 0.564915, -0.537291, 0.492114, 0.075358, -0.10831, -0.739956, 0.41837, -1.14832, 1.04267, 1.19784, 0.191522, 0.453468, 0.588819, 0.010623, 0.179534, -0.665739, -0.547584, 0.0042886, 0.249102, -0.299858, -0.278233, 0.0033112, -0.316491, -0.117329, 0.085681, 0.58303, 0.306726, 0.592692, 0.391765, 0.0291926, -0.62887, -0.0632177, -0.137386, -0.506702, 0.496237, 0.770761, 0.657011, -0.483656, -0.190328, 0.341414, 0.211298, 0.6031, -1.11437, 0.619627, 0.73627, -0.142978, -0.83168, -0.128993, 0.325433, -0.402004, 0.013308, 0.767491, -0.182854, -0.960338, 0.214579, -0.11795, 0.152252, -0.512229, -0.472408, -1.16732, 0.255154, -0.276488, -0.263753, -0.104361, -0.359416, -0.655798, 0.846664, 0.638438, 0.850553, -0.134781, 0.833328, -0.360435, 0.631639, 0.365479, 0.213247, 0.446222, 0.0852387, -0.291974, 0.37339, 0.461364, 0.0690994, -0.58191, 0.358461, -0.618426, -0.758616, 0.126443, -0.260861, 0.196918, -0.519286, -0.37757, 0.450049, 0.978513, 0.278613, -0.245189, 0.513137, 0.302343, -0.398958, -0.339438, -0.150153, -0.396151, 0.398903, -0.072983, -0.0499684, -0.432685, -0.38789, 0.252118, 0.03721, -0.202072, -0.759199, 0.574103, 0.022925, -0.199392, -0.115668, 0.429166, -0.493381, 0.447001, -0.18685, -0.963208]""",辆车
"""[-0.120884, 0.619833, -0.17202, 0.013719, -0.447779, 0.391517, 0.788307, 0.138707, -0.0364735, 0.003998, 0.003647, 0.368982, 0.53973, -0.112061, 0.328605, 0.201876, -0.178478, -0.178267, 0.287751, 0.797375, -0.0340612, 0.632233, 0.211878, -0.0717303, -0.624865, -0.0243445, 0.606668, -0.0153245, 0.122082, -0.49002, 0.729348, -0.322095, 0.524911, -0.408122, -0.0812514, -0.167969, 0.713615, -0.120345, 0.134086, -0.7057, -0.60476, -0.111521, 0.470001, 0.474371, -0.218086, 0.499006, -0.803468, 1.01048, -0.240229, 0.229943, 0.548023, -0.811411, -0.903352, 0.518666, 0.369187, -0.389125, 0.47521, -0.787824, -0.263066, 0.195127, 0.178703, 0.219307, 0.630395, 0.065696, 0.0956184, 0.0486029, 0.030574, -0.0382929, 0.405812, -0.16067, -0.963613, -0.452911, -0.270158, 0.0525017, -0.0280152, 0.270624, 0.766037, -0.387394, 0.283947, -0.459376, -0.0462289, 0.138528, -0.118294, 0.77007, 0.44932, 0.647902, 0.565381, 0.0719825, 0.207209, 0.43316, 0.147904, -0.68155, -0.0042666, 0.190937, -0.175384, 0.411017, 0.377171, -0.031047, 0.124116, -0.0201519, 0.194839, 0.539662, -0.458186, 0.0347786, 0.615154, 0.087895, 0.178349, -0.574806, -0.45478, -0.18692, -0.56047, -0.128533, -0.156144, -0.282042, -0.653109, -0.470294, -0.542179, 0.069261, -0.566507, 0.660721, -0.324076, -0.125096, -0.544731, -0.264802, 0.121056, -0.129265, -0.170522, 0.233688]""",我要
"""[-0.263556, 0.30625, -0.583559, -0.210556, -0.0859687, 0.0461362, 0.123484, 0.476863, 0.0719018, 0.0390847, 0.0870162, -0.680345, 0.450175, 0.0919823, 0.0968864, 0.445915, 0.231591, 0.162967, -0.103643, 0.231853, -0.273175, 0.361929, 0.099426, -0.0672612, 0.0371799, -0.754713, 0.413695, 0.382705, -0.19178, 0.323818, -0.0545328, 0.572226, 0.165201, 0.186388, -0.258825, 0.250563, 0.247389, -0.0535165, 0.338644, -0.170342, -0.00213305, -0.139514, 0.663065, 0.364275, 0.28197, -0.090765, -0.327117, 0.171324, -0.149428, 0.353967, 0.193499, -0.522081, -0.331314, 0.144633, 0.296765, 0.100671, -0.358663, -0.4221, -0.459902, 0.0158854, 0.166647, 0.248239, -0.123491, 0.259037, 0.0647044, -0.192062, 0.115693, -0.267967, -0.371426, -0.653319, 0.237692, -0.200888, 0.449906, 0.517681, 0.0169177, 0.180634, 0.349249, 0.468342, 0.0909339, 0.366198, 0.0672789, -0.154774, 0.3235, -0.283026, -0.142178, -0.530327, 0.0503569, 0.230863, 0.61636, 0.100477, 0.169148, -0.169089, 0.209972, -0.252337, -0.106515, 0.31274, 0.287446, -0.13733, -0.229353, -0.0422464, -0.0348531, 0.67251, 0.159392, -0.0209433, 0.170518, 0.10306, 0.409275, -0.415062, 0.00837889, 0.0282748, 0.0246677, 0.359789, -0.125718, -0.375023, 0.0319797, -0.490901, 0.222235, -0.153829, -0.167393, 0.356146, -0.480853, -0.11701, -0.312258, 0.300323, -0.233888, 0.350758, 0.236742, -0.27068]""",买
"""[0.278742, 1.03087, -0.0892497, -0.749321, -0.0273139, -0.0746594, 0.255201, 0.32808, 0.207556, -0.023415, 0.207436, -0.40462, 0.672289, -0.139438, -0.094752, 0.959287, 0.212647, 0.704906, 0.464813, 0.638296, -0.0480633, 0.769913, 0.039835, 0.539256, -0.187469, -0.547912, -0.267356, 0.0562902, 0.0400679, 0.256853, 0.158763, -0.121054, 0.383442, -0.180394, 0.312825, 0.076186, 0.97459, -0.567148, 0.131427, -0.558328, 0.117754, 0.416501, 0.457915, -0.206809, -0.450916, 0.664586, -0.926066, 0.92775, -0.466562, 0.167868, 1.01772, -0.803465, -0.584763, 0.217028, 0.654513, -0.339266, -0.032139, -0.453091, -0.639371, 0.220582, 0.447975, 0.690434, 1.05087, -0.140728, 0.038748, -0.740198, 0.388926, 0.055364, 0.550156, -0.390698, -0.815322, -0.027166, -0.11637, -0.160328, 0.266458, 0.491998, 0.800055, 0.0690165, -0.100385, -0.59421, 0.425207, 0.159057, 0.219114, 0.246983, -0.528085, 0.003081, 0.722925, -0.336426, 0.257704, -0.291425, 0.17112, -0.304283, 0.150027, -0.214905, -0.0630466, 1.11758, 0.771313, -0.174804, -0.520887, -0.338631, -0.210411, 0.526893, -0.334358, 0.0673124, 0.554971, 0.318177, -0.076976, -0.950023, -0.498131, 0.545474, 0.571117, 0.304871, 0.0254703, -0.400533, 0.010057, -0.435043, -0.76994, 0.711939, -0.079839, 0.494867, -0.531365, -0.264638, -0.1101, -0.211441, 0.241002, -0.149212, 0.130812, 0.150307]""",要买车
"""[0.176417, 0.0339853, 0.00372876, -0.180807, 0.100319, -0.0819744, 0.0123811, 0.0826065, 0.138939, 0.139232, 0.192419, -0.23095, 0.026625, -0.0145047, -0.00381574, -0.0615389, -0.111945, 0.119703, 0.25212, 0.159806, -0.104889, 0.168717, -0.151119, -0.111602, 0.0115432, -0.0879529, 0.0918598, 0.0131503, -0.0455597, -0.0849397, -0.128568, -0.0665228, -0.126805, 0.0357738, -0.0153238, -0.0776812, 0.0485692, -0.189182, 0.0131579, -0.118474, 0.0648224, 0.0504808, 0.135317, -0.0402505, 0.137144, -0.0408841, 0.129248, 0.0612354, 0.0553191, -0.0131508, -0.0756367, -0.00505399, 0.0518342, -0.0437911, 0.28257, 0.10086, -0.127412, 0.0202787, 0.0864804, -0.0425805, -0.0347874, 0.182242, 0.071552, 0.0978005, 0.0496152, -0.19892, 0.120344, -0.0521367, 0.0119728, 0.0942783, 0.0521594, -0.0145976, 0.077821, 0.0688778, -0.0628201, 0.0220428, 0.200598, 0.0280792, 0.00332335, -0.0822059, -0.0692897, 0.00176193, 0.0213755, -0.0723568, 0.135049, -0.00902982, 0.0405464, 0.0299829, 0.0168234, 0.0571955, 0.137339, -0.0891244, 0.025212, -0.0299926, -0.0653376, 0.103157, -0.0823825, 0.151496, 0.0788067, 0.0142446, 0.0706538, 0.195307, 0.0122759, 0.0608153, 0.0286688, 0.0113898, 0.0681963, 0.00918873, -0.0852516, -0.0759463, 0.272858, -0.0759844, 0.0170812, -0.084654, -0.0510506, -0.0959311, 0.00191595, 0.115475, -0.0734882, 0.0583015, -0.118245, 0.0483929, -0.147152, 0.00708632, 0.0547007, 0.196278, 0.0257601, -0.0873318]""",看车
"""[-0.253392, -0.000324016, -0.34586, 0.143382, -0.174209, -0.0040769, 0.450743, 0.354694, 0.177407, -0.0685795, 0.144024, -0.0548651, 0.0445208, 0.0765933, 0.455294, 0.140743, 0.529171, -0.110738, -0.1371, 0.0875176, -0.177004, 0.207919, -0.00302961, -0.361812, -0.186861, -0.0941505, 0.0362752, -0.00774125, 0.0589064, -0.0714083, 0.0186864, 0.197045, 0.291415, 0.0739916, -0.249823, 0.0659885, 0.399508, 0.327527, 0.636771, -0.566063, -0.0623153, 0.13233, 0.251369, 0.0604017, -0.248958, 0.22572, -0.231903, 0.471292, -0.267523, 0.22922, -0.0924335, -0.118696, -0.0186523, 0.207961, 0.0572426, 0.10384, -0.324111, -0.303479, -0.330771, -0.277615, -0.0295854, 0.27149, 0.00468309, 0.247154, 0.109268, -0.240028, 0.0649107, -0.214305, -0.198879, -0.607241, -0.268538, -0.0588976, 0.15165, -0.138213, -0.0710657, 0.0184663, 0.342671, 0.027183, 0.35633, 0.180896, -0.122899, 0.183444, -0.398132, -0.109618, -0.160417, 0.16203, -0.168642, -0.00260837, 0.567327, 0.838432, -0.0546533, -0.5087, 0.160792, 0.01156, -0.269995, 0.471404, 0.125726, -0.23275, -0.0633977, -0.121829, -0.41254, 0.407144, 0.236408, -0.0760799, 0.175036, -0.23277, 0.300667, -0.0340334, 0.0124178, 0.212007, -0.0339093, 0.555393, -0.0974167, -0.301891, -0.169948, -0.206533, 0.0303608, -0.0155871, -0.247022, -0.102132, -0.643975, 0.167961, 0.220502, 0.427933, -0.325994, 0.0276624, -0.112317, 0.0223202]""",给
